price,quantity,true_label,pred_label,prob_normal,prob_bulking,prob_event,correct
16,987,bulking,bulking,2.569919285403743e-07,0.9953937246103819,0.0046060183976895765,True
431,581,event,event,4.019894486159323e-05,6.309914601822953e-06,0.9999534911405367,True
177,428,event,event,0.007532288575164925,0.004930998874916018,0.9875367125499189,True
398,728,event,event,2.8342262792345515e-06,1.0218107424554194e-05,0.9999869476662963,True
74,65,normal,normal,0.9981773160283368,0.0011036798178142133,0.0007190041538491088,True
5,844,bulking,bulking,1.4446975524128764e-06,0.9978333404106304,0.002165214891817314,True
202,628,event,event,3.22270019259642e-05,0.0015135937411449407,0.998454179256929,True
216,536,event,event,0.00015396846909319375,0.0005385957092858322,0.9993074358216211,True
347,555,event,event,4.400654267417414e-05,1.9763159996384685e-05,0.9999362302973295,True
10,436,bulking,bulking,0.010599588045283784,0.98531139927123,0.004089012683486214,True
5,650,bulking,bulking,4.2517484126705975e-05,0.9979390890727401,0.0020183934431331533,True
53,31,normal,normal,0.9990001016272917,0.0008389814563628696,0.00016091691634543222,True
24,39,normal,normal,0.9973402274873825,0.002573307677173391,8.646483544430785e-05,True
11,850,bulking,bulking,1.5348108517469617e-06,0.9969639327037004,0.0030345324854476156,True
14,924,bulking,bulking,5.678041737206717e-07,0.9962679844218507,0.0037314477739754845,True
56,27,normal,normal,0.9991380887940697,0.0006978362275188434,0.00016407497841122297,True
385,699,event,event,4.1258417537151225e-06,1.188673418950279e-05,0.9999839874240568,True
27,24,normal,normal,0.9982337221690311,0.0016907399696794439,7.553786128953418e-05,True
89,15,normal,normal,0.9993673808664002,0.0002663070250854382,0.000366312108514506,True
224,719,event,event,4.7237811672853505e-06,0.0006391554809859613,0.9993561207378467,True
16,593,bulking,bulking,0.0002392120449038641,0.9953255086309897,0.004435279324106691,True
10,814,bulking,bulking,2.528485883424849e-06,0.9971454939473402,0.002851977566776359,True
16,892,bulking,bulking,9.397495824301445e-07,0.995917421746791,0.004081638503626689,True
56,8,normal,normal,0.9994106160091464,0.0004638775786878428,0.00012550641216572375,True
58,42,normal,normal,0.9988064589325736,0.0009542265486283928,0.0002393145187979405,True
260,609,event,event,1.4238661709839718e-05,0.00011120520289791527,0.9998745561353923,True
157,446,event,event,0.01001598622792766,0.018268823159574465,0.9717151906124979,True
16,854,bulking,bulking,1.651920695006673e-06,0.9959329337867566,0.004065414292548472,True
